frequency_hz;response_db
25;3,6
26;3,7
27;3,8
28;4,0
29;4,1
30;4,3
31;4,4
32;4,6
33;4,8
34;5,0
35;5,1
36;5,2
37;5,4
38;5,6
39;5,7
40;5,8
41;5,9
42;6,0
43;6,1
44;6,2
45;6,3
46;6,4
47;6,5
48;6,6
49;6,7
50;6,7
51;6,8
52;6,8
53;6,9
55;7,0
56;7,0
57;7,1
58;7,2
60;7,3
61;7,3
62;7,4
64;7,4
65;7,5
66;7,5
68;7,6
69;7,6
71;7,6
72;7,7
74;7,7
76;7,8
77;7,8
79;7,9
81;7,9
83;7,9
84;7,9
86;8,0
88;8,0
90;8,0
92;8,1
94;8,1
96;8,2
98;8,2
100;8,1
101;8,2
103;8,2
105;8,3
107;8,3
110;8,3
112;8,4
115;8,4
117;8,4
120;8,4
122;8,4
125;8,5
128;8,5
131;8,5
134;8,5
137;8,5
140;8,5
143;8,5
146;8,5
149;8,6
152;8,6
156;8,6
159;8,6
163;8,6
166;8,6
170;8,6
174;8,6
177;8,7
181;8,7
185;8,7
189;8,7
194;8,7
198;8,7
202;8,8
203;8,6
207;8,8
211;8,8
216;8,8
221;8,8
226;8,8
231;8,8
236;8,8
241;8,8
246;8,8
252;8,8
257;8,8
263;8,8
269;8,8
275;8,8
281;8,8
287;8,8
293;8,9
300;8,9
306;8,9
313;8,9
320;8,9
327;8,9
334;8,9
342;8,9
349;9,0
357;9,0
365;9,0
373;9,0
381;9,0
390;9,0
395;9,0
399;9,1
407;9,1
416;9,2
425;9,2
435;9,2
444;9,2
454;9,3
464;9,3
474;9,3
485;9,3
496;9,4
506;9,4
518;9,4
529;9,5
541;9,5
553;9,5
565;9,5
577;9,6
590;9,6
603;9,6
617;9,6
630;9,6
644;9,7
658;9,7
673;9,7
688;9,8
703;9,8
718;9,8
734;9,8
751;9,8
767;9,8
784;9,8
801;9,7
819;9,7
837;9,7
856;9,6
875;9,6
894;9,6
914;9,5
934;9,5
954;9,5
976;9,5
980;9,3
997;9,5
1004;9,4
1025;9,4
1047;9,4
1071;9,4
1092;9,4
1102;9,3
1124;9,4
1149;9,3
1175;9,3
1198;9,3
1216;9,2
1241;9,3
1268;9,3
1296;9,3
1325;9,3
1354;9,3
1384;9,3
1415;9,3
1446;9,4
1478;9,4
1510;9,4
1544;9,4
1578;9,4
1613;9,4
1648;9,4
1685;9,5
1722;9,5
1760;9,5
1799;9,5
1839;9,5
1879;9,6
1921;9,6
1963;9,6
2006;9,6
2051;9,6
2096;9,7
2142;9,7
2186;9,7
2218;9,6
2260;9,6
2303;9,5
2347;9,5
2381;9,3
2425;9,3
2461;9,1
2506;9,1
2528;8,9
2580;8,8
2637;8,6
2695;8,5
2696;8,2
2755;8,1
2812;8,0
2836;7,8
2894;7,7
2958;7,5
3019;7,4
3045;7,2
3102;7,2
3148;7,1
3211;7,1
3278;7,1
3335;7,0
3379;7,1
3448;7,1
3524;7,2
3572;7,1
3606;7,4
3651;7,4
3685;7,6
3742;7,6
3769;7,8
3845;8,0
3898;8,0
3934;8,2
4016;8,3
4105;8,5
4196;8,6
4288;8,6
4383;8,6
4472;8,6
4538;8,4
4629;8,3
4630;8,1
4732;7,9
4837;7,7
4944;7,4
5053;7,2
5054;6,9
5165;7,0
5166;6,8
5270;6,8
5348;6,6
5456;6,6
5576;6,6
5699;6,7
5825;6,9
5905;6,9
5960;7,2
6035;7,1
6092;7,4
6219;7,5
6356;7,6
6486;7,7
6543;7,5
6666;7,6
6724;7,4
6862;7,4
7013;7,3
7014;7,0
7169;6,9
7307;6,8
7328;6,5
7380;6,3
7504;6,0
7531;6,3
7647;5,8
7703;5,5
7804;5,7
7833;5,3
7927;5,0
7977;5,2
8053;4,7
8110;4,9
8222;4,5
8368;4,2
8543;4,1
8544;3,9
8717;3,9
8845;3,7
9024;3,6
9207;3,4
9342;3,3
9531;3,3
9742;3,4
9876;3,4
9968;3,6
10093;3,6
10188;3,8
10344;3,8
10419;4,1
10543;4,0
10642;4,3
10776;4,3
10876;4,5
11013;4,5
11116;4,8
11256;4,8
11361;5,1
11504;5,0
11611;5,4
11757;5,4
11867;5,6
12016;5,6
12129;5,9
12382;6,1
12655;6,2
12919;6,3
13163;6,2
13414;6,2
13611;6,1
13861;6,1
14065;6,0
14324;5,9
14534;5,8
14828;5,8
15156;5,8
15490;5,9
15704;5,8
15850;6,1
16050;6,1
16200;6,3
16493;6,4
16556;6,7
16810;6,7
16829;7,0
17087;7,0
17106;7,4
17368;7,4
17382;7,8
17588;8,1
17654;7,7
17780;8,5
17846;8,0
17970;8,9
18065;8,5
18170;9,2
18337;8,9
18368;9,5
18487;9,2
18569;9,9
18587;9,5
18862;10,2
18927;9,9
19099;10,2
19278;10,5
