frequency_hz;response_db
25;8,7
26;8,7
27;8,7
28;8,7
29;8,7
30;8,7
31;8,7
32;8,6
33;8,6
34;8,6
35;8,6
36;8,6
37;8,6
38;8,6
39;8,6
40;8,6
41;8,6
42;8,6
43;8,6
44;8,6
45;8,6
46;8,6
47;8,5
48;8,5
49;8,5
50;8,5
51;8,5
52;8,5
53;8,5
54;8,5
55;8,5
56;8,5
57;8,5
58;8,5
59;8,5
60;8,5
61;8,6
62;8,5
63;8,5
64;8,5
65;8,5
66;8,5
67;8,5
68;8,5
69;8,6
70;8,5
71;8,5
72;8,5
73;8,5
74;8,5
75;8,5
77;8,5
78;8,5
79;8,5
80;8,5
81;8,5
82;8,5
84;8,5
85;8,5
86;8,5
87;8,5
88;8,5
90;8,5
91;8,5
92;8,5
94;8,5
95;8,5
96;8,5
98;8,5
99;8,5
101;8,5
102;8,5
104;8,5
105;8,5
107;8,5
108;8,5
110;8,5
111;8,5
113;8,5
115;8,5
116;8,5
118;8,5
120;8,5
121;8,5
123;8,5
125;8,5
127;8,5
129;8,5
130;8,5
132;8,5
134;8,5
136;8,5
138;8,5
140;8,5
142;8,5
144;8,5
146;8,5
149;8,5
151;8,5
153;8,5
155;8,5
157;8,5
160;8,5
162;8,5
164;8,5
167;8,5
169;8,5
172;8,5
174;8,5
177;8,5
179;8,5
182;8,5
184;8,5
187;8,5
190;8,5
192;8,5
195;8,5
198;8,5
201;8,5
204;8,5
207;8,5
210;8,5
213;8,5
216;8,5
219;8,5
222;8,5
226;8,5
229;8,5
232;8,5
235;8,5
239;8,5
242;8,5
246;8,5
249;8,5
253;8,5
257;8,5
260;8,5
264;8,5
268;8,5
272;8,5
276;8,5
280;8,5
284;8,5
288;8,5
292;8,5
297;8,5
301;8,5
305;8,5
310;8,5
314;8,5
319;8,5
323;8,5
328;8,5
333;8,5
338;8,5
342;8,5
347;8,5
352;8,5
358;8,5
363;8,5
368;8,5
373;8,5
379;8,5
384;8,5
390;8,5
395;8,5
401;8,5
407;8,5
413;8,5
419;8,5
425;8,5
431;8,5
437;8,5
444;8,5
450;8,5
457;8,5
463;8,5
470;8,5
477;8,5
484;8,5
491;8,5
498;8,5
505;8,5
512;8,5
520;8,5
527;8,5
535;8,5
543;8,5
551;8,5
559;8,5
567;8,5
575;8,5
583;8,5
592;8,5
600;8,5
609;8,5
618;8,5
627;8,5
636;8,5
645;8,5
655;8,5
664;8,5
674;8,5
684;8,5
693;8,5
704;8,5
714;8,5
724;8,5
735;8,5
745;8,5
756;8,5
767;8,5
778;8,4
789;8,4
801;8,4
812;8,4
824;8,4
836;8,4
848;8,4
861;8,4
873;8,4
886;8,4
