frequency_hz;response_db
25;13,6
26;13,6
27;13,6
28;13,6
29;13,6
30;13,7
31;13,7
32;13,8
33;13,8
34;13,9
35;13,9
36;13,9
37;13,9
38;13,9
39;14,0
40;14,0
41;14,1
42;14,1
43;14,2
44;14,2
45;14,2
46;14,2
47;14,2
48;14,3
49;14,3
50;14,3
51;14,4
52;14,4
53;14,4
54;14,4
55;14,4
56;14,4
57;14,4
58;14,5
59;14,5
60;14,5
61;14,5
62;14,6
63;14,6
64;14,6
65;14,6
66;14,6
67;14,6
68;14,6
69;14,6
70;14,6
71;14,7
72;14,7
73;14,7
74;14,7
75;14,7
76;14,7
77;14,7
78;14,7
79;14,7
80;14,8
81;14,8
82;14,8
83;14,8
84;14,8
85;14,8
86;14,8
87;14,8
88;14,8
89;14,8
90;14,8
91;14,8
92;14,8
93;14,8
94;14,8
95;14,8
96;14,8
97;14,8
98;14,8
99;14,8
100;14,8
101;14,8
102;14,9
103;14,9
104;14,9
105;14,9
106;14,9
107;14,9
108;14,9
109;14,9
110;14,9
111;14,9
112;14,9
113;14,9
114;14,9
115;14,9
116;14,9
117;14,9
118;14,9
119;14,9
120;14,9
121;14,9
122;15,0
123;15,0
124;15,0
125;15,0
126;15,0
127;14,9
128;14,9
129;15,0
130;15,0
131;15,0
132;15,0
133;15,0
134;15,0
135;15,0
136;15,0
137;15,0
138;15,0
139;15,0
140;15,0
141;15,0
142;15,0
143;15,0
144;15,0
145;15,0
146;14,9
147;15,0
148;15,0
149;15,0
150;15,0
151;15,0
152;15,0
153;15,0
154;15,0
155;15,0
156;15,0
157;15,0
158;15,0
159;15,0
160;15,0
161;15,0
162;15,0
163;15,0
164;15,0
165;15,0
166;15,0
167;15,0
168;15,0
169;15,0
170;15,0
171;15,0
172;15,1
173;15,1
174;15,1
175;15,1
176;15,1
177;15,1
178;15,1
179;15,1
180;15,1
181;15,1
182;15,1
183;15,1
184;15,1
185;15,1
186;15,1
187;15,1
188;15,1
189;15,1
190;15,1
191;15,1
192;15,1
193;15,1
194;15,1
195;15,1
196;15,1
198;15,1
199;15,1
200;15,1
201;15,1
202;15,1
203;15,1
204;15,1
205;15,1
206;15,1
207;15,1
209;15,1
210;15,1
211;15,1
212;15,1
213;15,1
214;15,1
216;15,1
217;15,1
218;15,1
219;15,1
220;15,1
222;15,1
223;15,1
224;15,1
225;15,1
226;15,1
228;15,1
229;15,1
230;15,1
231;15,1
233;15,1
234;15,1
235;15,1
237;15,1
238;15,1
239;15,1
240;15,1
242;15,1
243;15,1
244;15,1
246;15,1
247;15,1
248;15,1
250;15,1
251;15,1
253;15,1
254;15,1
255;15,1
257;15,1
258;15,1
260;15,1
261;15,1
262;15,1
264;15,1
265;15,1
267;15,1
268;15,1
270;15,1
271;15,1
273;15,1
274;15,1
276;15,1
277;15,1
279;15,1
280;15,1
282;15,1
283;15,1
285;15,1
286;15,1
288;15,1
289;14,9
290;15,1
291;15,1
293;15,1
294;15,1
296;15,1
298;15,1
299;15,1
301;15,1
302;15,1
304;15,1
306;15,1
307;15,1
309;15,1
311;15,1
313;15,1
314;15,1
316;15,1
318;15,1
319;15,1
321;15,1
323;15,1
325;15,1
326;15,1
328;15,1
330;15,1
332;15,1
334;15,1
336;15,1
337;15,1
339;15,1
341;15,1
343;15,1
345;15,1
347;15,1
349;15,1
350;14,9
351;15,1
352;15,1
354;15,1
356;15,1
358;15,1
360;15,1
362;15,1
364;15,1
366;15,1
368;15,1
370;15,1
372;15,1
374;15,1
376;15,1
378;15,1
380;15,1
383;15,1
385;15,1
387;15,1
389;15,1
391;15,1
393;15,1
395;15,1
397;15,1
400;15,1
402;15,1
404;15,1
406;15,1
408;15,1
411;15,1
413;15,1
415;15,1
417;15,1
420;15,1
422;15,1
424;15,1
427;15,1
429;15,1
431;15,1
434;15,1
436;15,1
438;14,9
439;15,2
441;15,1
443;15,1
446;15,1
448;15,1
451;15,1
453;15,1
456;15,1
458;15,1
461;15,1
463;15,1
466;15,1
468;15,1
471;15,1
472;14,9
473;15,1
476;15,1
479;15,1
481;15,1
484;15,1
486;15,1
489;15,1
492;15,1
494;15,0
495;15,2
497;15,1
500;15,1
503;15,1
505;15,1
508;15,1
511;15,1
514;15,1
517;15,1
519;15,1
522;15,1
525;15,1
528;15,1
531;15,1
534;15,1
537;15,1
540;15,1
543;15,1
546;15,1
549;15,1
552;15,1
555;15,1
558;15,1
561;15,1
564;15,1
567;15,1
570;15,1
573;15,1
576;15,1
579;15,1
582;15,0
583;15,2
586;15,2
589;15,2
592;15,2
595;15,2
599;15,2
602;15,2
605;15,2
606;15,0
609;15,2
612;15,2
615;15,2
616;15,3
619;15,2
622;15,2
625;15,2
629;15,2
632;15,2
