frequency_hz;response_db
25;3,5
26;3,6
27;3,7
28;3,8
29;4,0
30;4,2
31;4,4
32;4,5
33;4,7
34;4,9
35;5,1
36;5,2
37;5,3
38;5,5
39;5,7
40;5,8
41;5,9
42;6,0
43;6,2
44;6,3
45;6,4
46;6,5
47;6,6
48;6,6
49;6,7
50;6,8
51;6,8
52;7,0
53;7,0
54;7,1
55;7,1
56;7,2
57;7,2
58;7,3
59;7,3
60;7,4
61;7,4
62;7,5
63;7,5
64;7,6
65;7,6
66;7,7
68;7,7
69;7,7
70;7,8
71;7,8
72;7,8
73;7,9
74;7,9
75;7,9
77;8,0
78;8,0
79;8,0
80;8,0
82;8,1
83;8,1
84;8,1
86;8,1
87;8,2
88;8,2
90;8,2
91;8,3
93;8,3
94;8,3
96;8,3
97;8,4
99;8,4
100;8,4
102;8,4
103;8,4
105;8,5
107;8,5
109;8,5
110;8,5
112;8,5
114;8,6
116;8,6
117;8,6
119;8,6
121;8,6
123;8,7
125;8,7
127;8,7
129;8,7
131;8,7
133;8,7
135;8,7
138;8,7
140;8,7
142;8,7
144;8,7
147;8,7
149;8,7
151;8,7
154;8,8
156;8,8
159;8,8
161;8,8
164;8,8
166;8,8
169;8,8
172;8,8
174;8,8
177;8,8
180;8,8
183;8,8
186;8,9
189;8,9
192;8,9
195;8,9
198;8,9
201;8,9
204;8,9
208;8,9
211;8,9
214;8,9
218;8,9
221;8,9
225;8,9
228;8,9
232;8,9
236;8,9
239;8,9
243;8,9
247;9,0
251;9,0
255;9,0
259;9,0
263;9,0
267;9,0
272;9,0
276;9,0
280;9,0
285;9,0
289;9,0
294;9,0
299;9,0
304;9,0
308;9,0
313;9,0
318;9,0
323;9,0
329;9,0
334;9,0
339;9,0
344;9,0
350;9,0
356;9,0
361;9,0
367;9,0
373;9,0
379;9,0
385;9,0
391;9,0
397;9,0
404;9,0
410;9,0
417;9,0
423;9,0
430;9,0
437;9,0
444;9,0
451;9,0
458;9,0
465;9,0
473;9,0
480;9,0
488;9,0
496;9,0
504;9,1
512;9,0
520;9,0
528;9,0
537;9,0
545;9,0
554;9,0
563;9,1
572;9,2
581;9,2
590;9,2
599;9,2
609;9,2
619;9,1
629;9,2
639;9,2
649;9,2
659;9,2
670;9,2
680;9,2
691;9,2
702;9,3
713;9,3
725;9,3
736;9,3
748;9,3
760;9,3
772;9,3
785;9,3
797;9,3
810;9,3
823;9,3
836;9,3
849;9,3
863;9,3
876;9,3
890;9,3
905;9,3
919;9,3
934;9,3
949;9,3
964;9,3
978;9,2
996;9,2
1010;9,2
1027;9,2
1043;9,2
1060;9,2
1077;9,2
1095;9,2
1110;9,1
1129;9,1
1147;9,1
1165;9,1
1184;9,1
1203;9,1
1222;9,1
1242;9,1
1262;9,1
1282;9,0
1302;9,0
1323;9,0
1344;9,0
1365;9,0
1387;9,1
1409;9,1
1432;9,1
1455;9,1
1478;9,1
1501;9,2
1525;9,2
1550;9,2
1574;9,3
1599;9,3
1625;9,3
1651;9,4
1677;9,4
1704;9,4
1731;9,5
1759;9,5
1787;9,5
1815;9,5
1844;9,6
1874;9,6
1904;9,6
1936;9,7
1965;9,7
1996;9,7
2028;9,7
2058;9,8
2093;9,8
2127;9,8
2161;9,9
2195;9,9
2230;9,9
2266;9,9
2304;9,9
2338;9,8
2377;9,7
2413;9,7
2452;9,6
2477;9,5
2516;9,4
2545;9,2
2579;9,1
2605;9,0
2636;8,9
2674;8,8
2720;8,7
2759;8,6
2787;8,5
2830;8,4
2856;8,3
2895;8,2
2941;8,1
2972;8,0
3015;8,0
3044;7,9
3091;7,8
3143;7,7
3196;7,7
3246;7,6
3291;7,5
3344;7,4
3401;7,4
3452;7,4
3510;7,3
3566;7,3
3623;7,4
3684;7,4
3743;7,5
3795;7,7
3838;8,0
3897;8,1
3942;8,3
3999;8,5
4058;8,8
4128;9,0
4185;9,1
4252;9,3
4323;9,4
4397;9,4
4459;9,3
4513;9,2
4582;9,1
4622;8,9
4680;8,7
4741;8,5
4803;8,2
4860;8,0
4898;7,8
4955;7,7
4995;7,5
5053;7,3
5116;7,0
5182;6,8
5253;6,7
5293;6,5
5373;6,5
5429;6,3
5514;6,3
5596;6,2
5692;6,1
5779;6,0
5875;5,9
5966;5,8
6068;5,8
6150;5,6
6234;5,5
6332;5,3
6433;5,2
6508;5,0
6595;5,0
6656;4,9
6739;4,8
6804;4,7
6898;4,6
7009;4,5
7089;4,4
7185;4,3
7294;4,2
7416;4,2
7539;4,2
7659;4,2
7782;4,2
7904;4,2
8035;4,3
8163;4,5
8273;4,7
8287;4,6
8400;4,8
8541;5,0
8668;5,1
8806;5,3
8940;5,4
9068;5,6
9199;5,8
9354;6,0
9503;6,0
9652;5,9
9779;5,8
9927;5,7
9951;5,5
10081;5,7
10242;5,7
10419;5,7
10565;5,8
10750;5,9
10899;6,0
11091;6,1
11250;6,2
11441;6,3
11623;6,4
11809;6,5
11994;6,7
12139;6,9
12301;7,1
12489;7,3
12680;7,6
12891;7,7
13096;7,8
13323;7,8
13526;7,7
13725;7,6
13907;7,6
14122;7,5
14259;7,4
14477;7,3
14721;7,3
14971;7,2
15197;7,1
15388;6,9
15631;6,8
15809;6,6
15975;6,5
16104;6,4
16328;6,3
16437;6,2
16620;6,1
16750;5,9
16974;5,8
17129;5,7
17344;5,7
17513;5,6
17747;5,6
18030;5,6
18338;5,7
18625;5,8
18902;5,9
19183;6,1
19501;6,2
19794;6,3
