frequency_hz;response_db
25;7,3
26;7,3
27;7,3
28;7,3
29;7,3
30;7,3
31;7,3
32;7,3
33;7,2
34;7,2
35;7,2
36;7,2
37;7,2
38;7,2
39;7,2
40;7,1
41;7,1
42;7,1
43;7,1
44;7,0
45;7,0
46;7,0
47;7,0
48;7,0
49;6,9
50;7,0
51;6,9
52;6,9
53;6,9
54;6,9
55;6,9
56;6,9
57;6,8
58;6,9
59;6,9
60;6,8
61;6,8
62;6,8
63;6,8
64;6,8
65;6,8
66;6,8
67;6,8
68;6,8
69;6,8
70;6,8
71;6,7
72;6,8
73;6,7
74;6,7
75;6,7
76;6,7
77;6,7
78;6,7
79;6,7
80;6,7
81;6,7
82;6,7
83;6,7
84;6,6
85;6,7
86;6,6
87;6,7
88;6,6
89;6,6
90;6,6
91;6,6
92;6,6
93;6,6
94;6,6
95;6,6
96;6,6
97;6,6
98;6,6
99;6,6
100;6,6
101;6,6
102;6,6
103;6,6
104;6,5
105;6,6
106;6,6
107;6,6
108;6,6
109;6,6
110;6,6
111;6,5
112;6,6
113;6,6
114;6,6
115;6,6
116;6,5
117;6,6
118;6,5
119;6,6
120;6,5
121;6,6
122;6,5
123;6,5
124;6,5
125;6,5
126;6,5
127;6,5
128;6,5
129;6,5
130;6,5
131;6,5
132;6,5
133;6,5
134;6,5
135;6,5
136;6,6
137;6,6
138;6,6
139;6,6
140;6,6
141;6,6
142;6,6
143;6,6
144;6,6
145;6,6
146;6,6
147;6,6
148;6,6
149;6,5
150;6,5
151;6,5
152;6,5
153;6,5
154;6,5
155;6,5
156;6,5
157;6,5
158;6,5
159;6,5
160;6,5
161;6,5
162;6,5
163;6,5
164;6,6
165;6,5
166;6,5
167;6,5
168;6,5
169;6,5
170;6,5
171;6,5
172;6,5
173;6,5
174;6,5
175;6,5
176;6,6
177;6,5
178;6,5
179;6,5
180;6,5
181;6,5
182;6,5
183;6,5
184;6,5
185;6,5
186;6,5
187;6,5
188;6,5
189;6,5
190;6,5
191;6,5
192;6,5
193;6,5
194;6,5
195;6,5
196;6,5
197;6,5
198;6,5
199;6,5
200;6,5
201;6,5
202;6,5
203;6,6
204;6,5
205;6,5
206;6,5
207;6,5
208;6,5
209;6,5
210;6,4
211;6,5
212;6,5
213;6,5
214;6,5
215;6,5
216;6,5
217;6,4
218;6,5
219;6,5
220;6,5
221;6,5
222;6,5
223;6,4
224;6,5
225;6,5
226;6,5
227;6,5
228;6,4
229;6,5
230;6,5
231;6,5
232;6,5
233;6,4
234;6,5
235;6,5
236;6,5
237;6,5
238;6,4
239;6,5
240;6,5
241;6,5
242;6,5
243;6,5
244;6,5
245;6,5
246;6,5
247;6,5
248;6,5
249;6,5
250;6,5
251;6,5
252;6,5
253;6,5
254;6,6
255;6,5
256;6,5
257;6,5
258;6,5
259;6,5
260;6,5
261;6,6
262;6,5
263;6,5
264;6,5
265;6,5
266;6,5
267;6,5
268;6,5
269;6,5
270;6,5
271;6,5
272;6,5
273;6,5
274;6,5
275;6,5
276;6,5
277;6,5
278;6,5
279;6,5
280;6,4
281;6,5
282;6,4
283;6,4
284;6,5
285;6,4
286;6,5
287;6,5
288;6,4
289;6,5
290;6,5
291;6,3
292;6,5
293;6,4
294;6,4
295;6,5
296;6,4
297;6,5
298;6,5
299;6,3
300;6,5
301;6,4
302;6,5
303;6,5
304;6,3
305;6,5
306;6,4
307;6,5
308;6,5
309;6,3
310;6,5
311;6,4
312;6,5
313;6,5
314;6,3
315;6,5
316;6,4
317;6,5
318;6,4
319;6,4
320;6,5
321;6,3
322;6,5
323;6,4
324;6,5
325;6,4
326;6,5
327;6,5
328;6,3
329;6,5
330;6,3
331;6,5
332;6,4
333;6,5
334;6,4
335;6,5
336;6,5
337;6,3
338;6,5
339;6,3
340;6,5
341;6,3
342;6,5
343;6,4
344;6,5
345;6,4
346;6,5
347;6,3
348;6,5
349;6,3
350;6,5
351;6,5
352;6,3
353;6,5
354;6,3
355;6,6
356;6,3
357;6,6
358;6,3
359;6,6
360;6,3
361;6,5
362;6,3
363;6,6
364;6,4
365;6,6
366;6,4
367;6,6
368;6,4
369;6,6
370;6,4
371;6,6
372;6,4
373;6,6
374;6,4
375;6,6
376;6,4
377;6,6
378;6,4
379;6,6
380;6,4
381;6,6
382;6,4
383;6,6
384;6,4
386;6,6
387;6,4
388;6,6
389;6,4
390;6,6
391;6,4
392;6,6
393;6,4
394;6,6
395;6,4
396;6,6
397;6,4
398;6,6
399;6,4
401;6,6
402;6,4
403;6,6
404;6,4
405;6,6
406;6,4
407;6,6
408;6,4
409;6,6
410;6,4
412;6,6
413;6,4
414;6,6
415;6,4
416;6,6
417;6,4
418;6,6
419;6,4
421;6,6
422;6,4
423;6,6
424;6,4
425;6,6
427;6,4
428;6,7
429;6,4
430;6,7
431;6,4
432;6,7
433;6,4
435;6,7
436;6,4
437;6,6
438;6,5
439;6,7
441;6,5
442;6,7
443;6,5
444;6,7
445;6,5
447;6,7
448;6,5
449;6,7
450;6,5
451;6,7
453;6,5
454;6,7
455;6,5
456;6,7
458;6,5
459;6,7
460;6,5
461;6,7
462;6,7
463;6,5
464;6,7
465;6,5
466;6,7
467;6,8
468;6,5
469;6,8
470;6,5
472;6,8
473;6,5
474;6,7
476;6,5
477;6,8
478;6,6
479;6,8
481;6,6
482;6,8
483;6,6
485;6,8
486;6,6
487;6,8
489;6,6
490;6,8
491;6,6
493;6,8
494;6,6
495;6,8
497;6,6
498;6,8
499;6,6
501;6,8
502;6,6
503;6,8
505;6,6
506;6,8
508;6,6
509;6,8
510;6,6
512;6,8
513;6,6
515;6,8
516;6,6
