frequency_hz;response_db
24;5,7
25;5,7
26;5,7
27;5,7
28;5,6
29;5,6
30;5,5
31;5,5
32;5,5
33;5,6
34;5,6
35;5,6
36;5,5
37;5,5
38;5,5
39;5,5
40;5,5
41;5,5
42;5,5
43;5,5
44;5,5
45;5,5
46;5,5
47;5,4
48;5,4
49;5,4
50;5,4
51;5,4
52;5,4
53;5,4
55;5,4
56;5,4
57;5,4
58;5,4
59;5,4
61;5,4
62;5,4
63;5,4
65;5,4
66;5,4
67;5,4
69;5,4
70;5,4
72;5,4
73;5,4
75;5,5
77;5,5
78;5,5
80;5,4
82;5,5
83;5,5
85;5,5
87;5,5
89;5,5
91;5,5
93;5,5
95;5,5
97;5,5
99;5,5
101;5,5
103;5,5
105;5,5
107;5,5
110;5,5
112;5,5
114;5,5
117;5,5
119;5,5
122;5,5
125;5,4
127;5,4
130;5,4
133;5,4
136;5,4
138;5,4
141;5,4
144;5,4
148;5,4
151;5,4
154;5,4
157;5,4
161;5,4
164;5,4
168;5,4
171;5,4
175;5,4
179;5,4
182;5,4
186;5,4
190;5,4
194;5,4
198;5,4
203;5,4
207;5,4
211;5,4
216;5,4
221;5,4
225;5,4
230;5,3
235;5,3
240;5,3
245;5,3
250;5,4
256;5,4
261;5,4
267;5,4
273;5,4
278;5,4
284;5,4
290;5,4
297;5,4
303;5,5
309;5,5
316;5,5
323;5,5
330;5,5
337;5,6
344;5,6
351;5,7
359;5,7
366;5,8
374;5,8
382;5,9
390;5,9
399;6,0
407;6,1
416;6,1
425;6,2
434;6,2
443;6,2
453;6,2
462;6,3
472;6,3
482;6,3
493;6,4
503;6,4
514;6,4
525;6,5
536;6,5
548;6,5
559;6,5
571;6,5
582;6,6
589;6,4
600;6,5
612;6,4
624;6,4
638;6,4
651;6,3
665;6,3
679;6,3
694;6,3
709;6,3
724;6,3
739;6,3
755;6,3
771;6,3
788;6,3
805;6,3
822;6,3
839;6,3
857;6,3
876;6,3
894;6,3
913;6,3
933;6,3
953;6,3
973;6,4
994;6,4
1015;6,4
1037;6,4
1059;6,4
1082;6,4
1105;6,4
1129;6,4
1153;6,4
1177;6,4
1203;6,5
1228;6,5
1255;6,5
1281;6,5
1309;6,6
1337;6,6
1365;6,6
1395;6,6
1424;6,6
1455;6,7
1486;6,7
1518;6,7
1550;6,6
1583;6,6
1617;6,6
1652;6,6
1687;6,6
1723;6,6
1760;6,6
1798;6,6
1836;6,7
1875;6,7
1915;6,8
1956;6,8
1998;6,9
2041;7,0
2084;7,1
2129;7,1
2174;7,2
2221;7,3
2268;7,4
2317;7,5
2366;7,6
2417;7,6
2468;7,6
2521;7,6
2575;7,5
2625;7,4
2661;7,3
2708;7,2
2744;7,0
2793;6,9
2807;6,7
2858;6,6
2881;6,4
2933;6,2
2989;6,1
3009;5,9
3063;5,9
3098;5,7
3159;5,7
3226;5,7
3295;5,7
3366;5,7
3438;5,9
3511;6,0
3586;6,2
3659;6,5
3726;6,7
3792;7,0
3866;7,3
3947;7,5
4031;7,7
4117;7,8
4205;7,9
4295;7,9
4387;7,9
4480;7,9
4576;7,8
4670;7,8
4760;7,7
4852;7,6
4939;7,5
5032;7,4
5065;7,2
5162;7,2
5181;6,9
5278;6,9
5301;6,7
5403;6,5
5509;6,3
5546;6,1
5649;6,1
5686;5,8
5793;5,8
5831;5,6
5947;5,6
6074;5,8
6204;6,0
6336;6,3
6471;6,5
6609;6,7
6750;6,9
6895;7,0
7042;7,1
7192;7,1
7346;7,1
7503;7,1
7664;7,2
7827;7,2
7995;7,2
8166;7,2
8340;7,2
8519;7,1
8701;7,1
8872;7,0
8944;6,8
9006;6,5
9087;6,2
9104;6,6
9181;5,9
9184;6,2
9252;5,6
9324;5,3
9395;5,0
9418;5,3
9470;4,8
9543;4,5
9618;4,2
9693;3,9
9766;3,6
9829;3,8
9844;3,3
9886;3,7
10022;3,1
10040;3,3
10225;3,0
10435;3,0
10658;2,9
10886;2,8
11119;2,7
11357;2,7
11600;2,6
11848;2,5
12101;2,5
12360;2,4
12625;2,3
12895;2,2
13171;2,2
13453;2,1
13740;2,1
14034;2,2
14334;2,3
14640;2,5
14952;2,6
15272;2,7
15598;2,8
15931;2,9
16271;3,0
16618;3,2
16973;3,3
17336;3,4
17706;3,5
18084;3,6
18470;3,8
18865;3,9
19268;4,0
19601;4,1
