frequency_hz;response_db
41;-16,3
42;-16,2
43;-16,0
44;-15,8
45;-15,6
46;-15,4
47;-15,3
48;-15,0
49;-14,9
50;-14,7
51;-14,6
52;-14,4
53;-14,2
54;-14,1
55;-14,0
56;-13,7
57;-13,5
58;-13,4
59;-13,3
60;-13,0
61;-13,1
62;-12,8
63;-12,8
64;-12,7
65;-12,4
66;-12,4
67;-12,2
68;-11,9
69;-12,0
70;-11,7
72;-11,5
73;-11,4
74;-11,0
75;-11,0
77;-10,7
78;-10,6
80;-10,3
81;-10,2
82;-10,0
83;-9,7
84;-9,8
85;-9,4
86;-9,5
87;-9,4
88;-9,0
89;-9,2
90;-8,9
91;-8,8
93;-8,6
94;-8,6
95;-8,3
96;-8,4
97;-8,1
98;-8,0
100;-7,9
102;-7,7
103;-7,7
104;-7,5
106;-7,4
107;-7,4
108;-7,1
110;-7,0
112;-6,8
114;-6,7
116;-6,3
117;-6,6
118;-6,2
120;-6,2
122;-6,1
123;-5,7
124;-5,9
125;-5,6
127;-5,8
128;-5,5
129;-5,6
130;-5,4
132;-5,2
135;-5,1
137;-5,1
138;-4,8
140;-4,9
143;-4,7
145;-4,8
146;-4,5
148;-4,6
149;-4,3
151;-4,3
153;-4,5
154;-4,2
156;-4,3
157;-4,0
159;-4,2
160;-3,9
162;-4,1
163;-3,8
166;-3,8
168;-3,9
170;-3,6
172;-3,8
173;-3,5
176;-3,5
178;-3,7
179;-3,4
183;-3,4
186;-3,3
189;-3,4
190;-3,1
193;-3,1
196;-3,3
197;-3,0
201;-3,0
205;-3,0
209;-2,9
213;-2,9
217;-2,7
221;-2,7
224;-2,9
225;-2,6
229;-2,6
233;-2,7
234;-2,4
238;-2,5
243;-2,5
247;-2,6
248;-2,3
252;-2,3
257;-2,3
262;-2,3
267;-2,3
272;-2,2
277;-2,2
282;-2,2
288;-2,2
293;-2,1
299;-2,1
305;-2,1
311;-2,1
316;-2,1
323;-1,9
329;-1,9
335;-1,9
341;-1,9
348;-1,9
355;-2,0
361;-1,9
368;-1,8
375;-1,8
382;-1,8
390;-1,8
397;-1,8
405;-1,8
413;-1,8
420;-1,9
421;-1,5
429;-1,7
437;-1,8
445;-1,7
454;-1,7
462;-1,5
471;-1,5
480;-1,5
489;-1,5
499;-1,4
508;-1,4
515;-1,5
519;-1,2
525;-1,4
529;-1,1
538;-1,1
548;-1,1
559;-1,1
569;-1,1
580;-1,0
591;-1,0
603;-1,0
614;-1,0
626;-1,0
638;-1,0
650;-1,0
663;-1,0
675;-1,0
688;-1,0
701;-1,0
715;-1,0
728;-1,0
742;-1,0
757;-1,0
771;-1,0
786;-1,0
801;-1,0
816;-1,0
832;-1,0
848;-1,0
864;-1,0
880;-1,0
897;-1,0
914;-1,0
926;-1,1
933;-0,9
950;-0,9
968;-0,9
986;-0,9
1005;-0,9
1025;-0,9
1038;-1,0
1045;-0,8
1064;-0,7
1084;-0,8
1085;-0,4
1105;-0,6
1126;-0,5
1148;-0,5
1166;-0,6
1172;-0,3
1192;-0,3
1211;-0,5
1217;-0,2
1238;-0,2
1254;-0,3
1264;-0,1
1286;-0,1
1307;-0,2
1313;0,1
1336;0,1
1361;0,0
1362;0,4
1383;0,1
1390;0,4
1414;0,4
1432;0,2
1443;0,5
1469;0,5
1497;0,6
1521;0,4
1528;0,7
1555;0,7
1584;0,7
1585;1,1
1610;0,7
1617;1,0
1646;1,0
1677;1,1
1709;1,1
1742;1,1
1775;1,1
1809;1,1
1844;1,1
1879;1,1
1915;1,0
1952;0,9
1989;0,9
2027;0,9
2066;1,0
2105;1,0
2146;1,0
2187;0,9
2228;0,9
2271;0,9
2314;0,7
2315;1,1
2359;0,9
2404;0,9
2450;0,9
2497;0,9
2544;0,8
2545;1,2
2593;1,1
2643;1,1
2693;1,3
2742;1,4
2784;1,8
2798;1,5
2837;1,9
2887;1,8
2892;2,2
2943;2,3
2995;2,4
3037;2,2
3041;2,7
3086;2,6
3100;3,0
3135;2,8
3159;3,1
3205;3,0
3220;3,4
3256;3,2
3281;3,6
3329;3,5
3345;3,8
3382;3,6
3408;3,9
3458;3,8
3474;4,2
3513;4,0
3540;4,3
3580;4,2
3608;4,4
3660;4,3
3678;4,6
3742;4,6
3814;4,8
3887;4,6
3961;4,6
4037;4,7
4114;4,6
4192;4,2
4193;4,6
4273;4,3
4354;4,2
4437;3,9
4438;4,2
4522;3,9
4609;3,8
4697;3,6
4786;3,2
4787;3,6
4878;3,2
4963;2,8
4971;3,2
5059;2,5
5066;3,0
5130;2,3
5163;2,7
5236;2,2
5261;2,5
5328;2,0
5370;1,6
5430;2,0
5464;1,6
